net,length_um
net64,236.1
_03537_,235.74
_04538_,235.18
_04435_,235.1
_03044_,234.99
_03393_,234.72
_05137_,234.62
_05147_,234.6
net602,234.6
net383,234.3
_05391_,234.12
_04506_,233.95
net225,233.71
net145,233.68
apb_master_fsm_block.m_apb_read_response\[28\],232.44
axi_slave_fsm_block.axi_wdata_reg\[30\],232.24
net253,232.18
_05145_,231.975
_03175_,231.38
net50,231.3
_03042_,231.11
_03879_,231.07
_04897_,231
net442,230.81
_04339_,230.38
_05371_,230.355
_03438_,230.35
_03020_,230.26
_03059_,230.23
_03757_,230.12
_03045_,229.88
_04063_,229.64
_05387_,229.2
_02744_,229.07
_03154_,228.635
_02620_,227.96
_03802_,227.66
_02875_,227.4
_04316_,227.28
net446,227.03
_04027_,226.98
_02634_,226.29
_04561_,225.3
_02629_,225.28
_05138_,225.08
_03035_,224.9
_03148_,224.635
_04497_,224.44
_02657_,224.36
_04557_,223.935
_04542_,223.66
_03774_,223.34
_02646_,223.06
_05405_,222.84
net281,222.46
_03063_,222.22
net480,221.67
_04482_,221.15
_04208_,220.2
_02650_,219.74
net542,219.61
_05370_,219.49
_03916_,218.54
net654,218.26
_03800_,218.2
_04524_,218.06
axi_slave_fsm_block.sw_wfifo_wdata\[16\],218
_03990_,217.84
net490,217.78
_03347_,217.62
_03021_,217.24
net360,215.63
_00052_,215.46
_03050_,215.28
_02644_,215.18
apb_master_fsm_block.m_apb_read_response\[26\],215.1
_03878_,214.82
net250,214.82
net455,214.805
_02256_,214.66
_03142_,214.56
_04171_,213.86
_04086_,213.84
_05021_,213.78
net283,213.78
_03022_,213.75
net132,213.66
apb_master_fsm_block.m_apb_read_response\[27\],213.34
_04075_,213.14
_02884_,212.83
_03952_,212.53
apb_master_fsm_block.m_apb_read_response\[30\],212.495
_04490_,212.42
_03210_,212.34
_03030_,211.95
net494,211.8
_05346_,211.56
_05374_,211.38
apb_master_fsm_block.m_apb_read_response\[24\],211.3
axi_slave_fsm_block.axi_awaddr_reg\[1\],210.94
_02627_,210.68
_03152_,210.48
_02616_,210.44
net493,208.98
_04244_,208.92
net500,208.5
_03877_,208.43
net242,208.39
net475,207.65
_03158_,207.62
_04393_,207.32
_03077_,207.06
_04280_,206.86
_03770_,206.82
net6,206.82
net44,206.72
_03241_,206.62
net397,205.96
axi_slave_fsm_block.sw_wfifo_wdata\[23\],205.84
net338,205.68
_03051_,205.6
_05018_,205.575
net125,205.29
apb_master_fsm_block.m_apb_paddr_reg\[3\],205.28
net178,205.26
net12,205.08
_04924_,204.75
_03583_,204.68
_03787_,204.68
net358,204.64
_03718_,204.455
_03184_,204.26
_02648_,204.055
_03107_,203.82
net313,203.52
net170,202.82
_05020_,202.545
_02462_,202.42
_03146_,202.21
apb_master_fsm_block.rfifo_data_latch\[43\],202.06
_03091_,202.02
net1451,200.98
net315,200.9
_02480_,200.66
net157,200.56
axi_slave_fsm_block.sr_wfifo_wdata\[39\],199.9
net30,199.7
_04514_,199.51
_03061_,199.32
_02730_,199.21
axi_slave_fsm_block.sw_wfifo_wdata\[22\],198.82
_03265_,198.5
_03673_,198.21
net346,197.7
net421,197.14
net462,197.06
_05022_,196.92
net226,196.52
_02938_,196.5
axi_slave_fsm_block.sw_wfifo_wdata\[19\],195.85
axi_slave_fsm_block.sr_wfifo_wdata\[49\],195.65
_05019_,195.38
net243,195.36
_03605_,195.33
_05033_,195.08
_03528_,195.06
_04670_,194.88
net23,194.82
_03779_,193.72
_02852_,193.34
net47,193.18
net247,193.07
net492,192.87
net126,192.6
net440,192.56
_03024_,192.01
_04522_,191.885
apb_master_fsm_block.m_apb_read_response\[32\],191.84
net579,191.64
_04661_,191.53
_04534_,191.51
net554,191.26
_03067_,191.21
net100,191.21
_05410_,191.16
_03183_,190.6
_05035_,190.52
_04510_,190.5
_03762_,190.28
net420,190.1
_03378_,190.06
_03901_,189.82
net604,189.78
_04669_,189.665
_04525_,189.04
net485,188.94
_02902_,188.62
_05029_,188.45
